43.21,257733
43.11,237250
42.98,245191
42.92,278827
42.88,233694
42.83,248790
42.59,173785
42.53,224806
42.51,185778
42.48,173438
42.48,110781
42.45,191723
42.44,196580
42.26,201140
42.26,194719
42.05,191827
41.96,170745
41.8,165464
41.78,170774
41.72,124570
41.71,161796
41.7,128832
41.66,153168
41.65,150008
41.61,149751
41.61,137921
41.55,134948
41.5,116190
41.47,128870
41.41,148358
41.39,142369
41.36,113765
41.34,174032
41.34,140863
41.34,132090
41.29,131762
41.25,140756
41.23,158800
41.23,125957
41.19,117348
41.13,123355
41.12,134771
41.07,128874
41.06,146754
41.05,131763
40.88,113461
40.85,126695
40.77,89984
40.67,109014
40.62,107779
40.6,128729
40.59,105029
40.58,104990
40.57,106048
40.53,95792
40.48,127454
40.48,93424
40.44,108278
40.42,89440
40.34,90314
40.33,87010
40.32,91617
40.28,111529
40.25,89756
40.2,88561
40.19,112128
40.19,92802
40.13,87228
40.12,83278
40.11,78916
40.09,79038
40.06,93153
40.06,84068
40.06,80998
40.01,71944
39.96,81816
39.94,77826
39.93,77544
39.85,84063
39.84,64061
39.83,43318
39.81,79026
39.8,75089
39.79,84492
39.77,77563
39.66,61811
39.65,66191
39.58,65231
39.56,75045
39.54,69446
39.49,53819
39.48,66181
39.41,72090
39.37,64591
39.31,57304
39.3,63923
39.27,61485
39.26,63828
39.22,57450
39.21,59325
39.09,56020
39.05,48017
39.02,54174
38.99,56131
38.99,55924
38.96,18239
38.92,54113
38.88,17982
38.79,52370
38.78,46670
38.76,52287
38.72,54695
38.69,49673
38.63,46951
38.6,30279
38.59,48671
38.58,81556
38.58,53873
38.58,48464
38.55,42955
38.5,44816
38.46,30132
38.41,47939
38.34,41116
38.27,28568
38.25,35834
38.19,38605
38.18,38895
38.14,39239
38.1,44866
38.08,37009
38.04,36447
38.03,35410
37.99,37921
37.98,37311
37.97,35336
37.94,33172
37.93,32611
37.92,25157
37.85,35904
37.84,35328
37.84,26265
37.78,20203
37.77,31378
37.74,23603
37.74,20314
37.69,22407
37.62,23832
37.6,21706
37.59,22950
37.59,19080
37.58,20472
37.57,28268
37.56,19125
37.54,32351
37.49,22682
37.43,28074
37.43,19156
37.28,26117
37.26,27068
37.25,25977
37.21,18221
37.21,12185
37.2,18904
37.15,16250
37.11,27136
37.11,14574
37.08,17780
37.08,15002
37.05,19504
37.03,17269
37,11435
36.99,14506
36.97,17384
36.96,17532
36.95,22941
36.92,14451
36.89,16462
36.88,17485
